timestamp,solar_generation_kwh,load_kwh,electricity_price
2025-01-01 00:00:00,0.09,0.78,3.712
2025-01-01 01:00:00,0.0,0.683,4.121
2025-01-01 02:00:00,0.0,0.566,4.42
2025-01-01 03:00:00,0.093,0.679,4.482
2025-01-01 04:00:00,0.056,0.593,4.292
2025-01-01 05:00:00,0.0,0.912,4.188
2025-01-01 06:00:00,0.0,1.016,4.506
2025-01-01 07:00:00,1.283,1.466,6.312
2025-01-01 08:00:00,2.578,1.778,6.503
2025-01-01 09:00:00,3.607,1.775,6.298
2025-01-01 10:00:00,4.293,1.0,6.554
2025-01-01 11:00:00,4.992,1.025,3.99
2025-01-01 12:00:00,4.929,1.009,4.386
2025-01-01 13:00:00,4.922,0.842,4.258
2025-01-01 14:00:00,4.369,1.002,4.418
2025-01-01 15:00:00,3.582,1.222,4.217
2025-01-01 16:00:00,2.549,1.564,3.836
2025-01-01 17:00:00,1.263,1.724,4.04
2025-01-01 18:00:00,0.0,2.479,7.984
2025-01-01 19:00:00,0.116,2.32,8.116
2025-01-01 20:00:00,0.02,2.37,8.378
2025-01-01 21:00:00,0.095,1.739,8.084
2025-01-01 22:00:00,0.103,1.233,7.881
2025-01-01 23:00:00,0.0,0.798,4.324
2025-01-02 00:00:00,0.0,0.774,4.356
2025-01-02 01:00:00,0.0,0.81,4.035
2025-01-02 02:00:00,0.0,0.709,3.901
2025-01-02 03:00:00,0.058,0.703,4.203
2025-01-02 04:00:00,0.058,0.84,4.366
2025-01-02 05:00:00,0.0,0.861,4.18
2025-01-02 06:00:00,0.0,1.068,3.869
2025-01-02 07:00:00,0.858,1.764,6.174
2025-01-02 08:00:00,1.844,2.116,6.311
2025-01-02 09:00:00,2.761,1.604,6.349
2025-01-02 10:00:00,3.159,1.201,6.61
2025-01-02 11:00:00,3.443,1.226,4.259
2025-01-02 12:00:00,3.708,0.879,4.218
2025-01-02 13:00:00,3.587,1.07,4.205
2025-01-02 14:00:00,3.465,1.075,3.944
2025-01-02 15:00:00,2.694,1.316,4.54
2025-01-02 16:00:00,1.99,1.725,4.566
2025-01-02 17:00:00,0.836,1.937,3.968
2025-01-02 18:00:00,0.0,2.435,8.359
2025-01-02 19:00:00,0.0,2.675,7.946
2025-01-02 20:00:00,0.038,2.701,8.699
2025-01-02 21:00:00,0.35,2.063,7.953
2025-01-02 22:00:00,0.0,1.452,7.997
2025-01-02 23:00:00,0.0,0.954,4.165
2025-01-03 00:00:00,0.0,0.604,3.781
2025-01-03 01:00:00,0.0,0.721,4.642
2025-01-03 02:00:00,0.016,0.846,4.075
2025-01-03 03:00:00,0.0,0.616,4.019
2025-01-03 04:00:00,0.255,0.66,4.41
2025-01-03 05:00:00,0.0,0.991,4.296
2025-01-03 06:00:00,0.0,1.192,4.036
2025-01-03 07:00:00,1.39,1.6,6.094
2025-01-03 08:00:00,2.429,1.911,6.795
2025-01-03 09:00:00,3.671,1.64,6.471
2025-01-03 10:00:00,4.629,1.224,6.297
2025-01-03 11:00:00,5.121,1.184,4.584
2025-01-03 12:00:00,5.186,0.869,3.858
2025-01-03 13:00:00,5.186,1.212,4.155
2025-01-03 14:00:00,4.426,1.24,3.923
2025-01-03 15:00:00,3.544,1.321,4.101
2025-01-03 16:00:00,2.582,1.603,4.284
2025-01-03 17:00:00,1.506,1.953,4.361
2025-01-03 18:00:00,0.0,2.502,7.989
2025-01-03 19:00:00,0.0,2.645,8.116
2025-01-03 20:00:00,0.11,2.349,8.208
2025-01-03 21:00:00,0.0,1.903,8.451
2025-01-03 22:00:00,0.065,1.53,8.161
2025-01-03 23:00:00,0.0,0.964,4.261
2025-01-04 00:00:00,0.011,0.693,4.829
2025-01-04 01:00:00,0.225,0.563,4.128
2025-01-04 02:00:00,0.0,0.595,4.279
2025-01-04 03:00:00,0.145,0.582,4.036
2025-01-04 04:00:00,0.0,0.674,3.934
2025-01-04 05:00:00,0.0,0.698,4.176
2025-01-04 06:00:00,0.0,0.918,4.732
2025-01-04 07:00:00,1.053,1.381,6.859
2025-01-04 08:00:00,2.681,1.587,6.308
2025-01-04 09:00:00,3.339,1.72,6.153
2025-01-04 10:00:00,4.01,1.188,6.509
2025-01-04 11:00:00,4.46,1.019,3.856
2025-01-04 12:00:00,4.636,0.896,4.258
2025-01-04 13:00:00,4.439,0.975,4.453
2025-01-04 14:00:00,4.058,1.015,4.213
2025-01-04 15:00:00,3.298,1.05,4.279
2025-01-04 16:00:00,2.32,1.734,4.593
2025-01-04 17:00:00,1.254,1.683,3.922
2025-01-04 18:00:00,0.143,2.324,8.32
2025-01-04 19:00:00,0.0,2.625,8.314
2025-01-04 20:00:00,0.0,2.236,8.266
2025-01-04 21:00:00,0.006,1.74,8.174
2025-01-04 22:00:00,0.0,1.27,8.568
2025-01-04 23:00:00,0.0,0.877,4.244
2025-01-05 00:00:00,0.0,0.741,4.632
2025-01-05 01:00:00,0.0,0.805,4.118
2025-01-05 02:00:00,0.0,0.575,4.116
2025-01-05 03:00:00,0.156,0.775,4.633
2025-01-05 04:00:00,0.141,0.784,4.636
2025-01-05 05:00:00,0.053,0.946,4.126
2025-01-05 06:00:00,0.008,1.07,4.447
2025-01-05 07:00:00,0.819,1.688,6.352
2025-01-05 08:00:00,1.995,1.911,6.855
2025-01-05 09:00:00,2.71,1.405,6.383
2025-01-05 10:00:00,3.071,1.091,6.778
2025-01-05 11:00:00,3.659,1.007,3.947
2025-01-05 12:00:00,3.713,0.832,4.032
2025-01-05 13:00:00,3.62,1.107,4.352
2025-01-05 14:00:00,2.937,1.062,4.218
2025-01-05 15:00:00,2.672,1.392,3.684
2025-01-05 16:00:00,1.783,1.634,3.805
2025-01-05 17:00:00,1.137,1.915,4.412
2025-01-05 18:00:00,0.0,2.514,8.467
2025-01-05 19:00:00,0.028,2.677,8.268
2025-01-05 20:00:00,0.0,2.398,8.162
2025-01-05 21:00:00,0.046,1.991,7.935
2025-01-05 22:00:00,0.0,1.497,8.014
2025-01-05 23:00:00,0.0,0.979,4.411
2025-01-06 00:00:00,0.103,0.888,4.339
2025-01-06 01:00:00,0.279,0.762,3.699
2025-01-06 02:00:00,0.193,0.732,4.227
2025-01-06 03:00:00,0.157,0.599,3.887
2025-01-06 04:00:00,0.0,0.725,4.31
2025-01-06 05:00:00,0.063,0.983,3.847
2025-01-06 06:00:00,0.0,1.301,4.082
2025-01-06 07:00:00,1.089,1.873,6.435
2025-01-06 08:00:00,2.088,2.071,6.533
2025-01-06 09:00:00,2.74,1.767,6.449
